"Fast Ball Video Analysis: Time (s)","Fast Ball Video Analysis: -X (m)","Fast Ball Video Analysis: Y (m)","Fast Ball Video Analysis: X Velocity (m/s)","Fast Ball Video Analysis: Y Velocity (m/s)","Fast Ball Video Analysis: X (m)"
0.234,0,0.884,1.11491401036,-0.52149922377,-0
0.267,-0.0352894211577,0.871648702595,1.16564439587,-0.727646315933,0.0352894211577
0.3,-0.075872255489,0.843417165669,1.20910325584,-1.003127465,0.075872255489
0.334,-0.118219560878,0.806363273453,1.20222898534,-1.33295217966,0.118219560878
0.367,-0.157037924152,0.755193612774,1.17142004548,-1.71739455507,0.157037924152
0.4,-0.195856287425,0.691672654691,1.12294791407,-2.05800272869,0.195856287425
0.434,-0.232910179641,0.615800399202,1.05840393503,-2.35305957494,0.232910179641
0.467,-0.266435129741,0.532870259481,1.00459333706,-2.60823098263,0.266435129741
0.5,-0.298195608782,0.444646706587,0.979133919339,-2.87858556108,0.298195608782
0.534,-0.331720558882,0.338778443114,0.962937490149,-3.11050298236,0.331720558882
0.567,-0.363481037924,0.234674650699,0.93006190459,-3.28205919401,0.363481037924
0.6,-0.393477045908,0.121748502994,0.888117099134,-3.43360800787,0.393477045908
0.634,-0.421708582834,0,0.854838978756,-3.52258547582,0.421708582834
